oni,season,year,rossby_amplitude,nao_shift,t_anom_nao,t_anom_direct,t_anom_strat,t_anom_total,background_c,t_anom_plus_bg,p_anom_mm,month
0.41,SON,2012,0.1086,-0.0434,0.026,0.021,0.001,0.048,1.11,1.158,0.6,9
0.31,SON,2012,0.0821,-0.0328,0.02,0.015,0.001,0.036,1.11,1.146,0.4,10
0.13,SON,2012,0.0344,-0.0138,0.008,0.007,0.0,0.015,1.11,1.125,0.2,11
-0.1,DJF,2012,-0.0589,0.0235,-0.014,-0.005,-0.004,-0.023,1.11,1.087,-0.2,12
-0.29,DJF,2013,-0.1707,0.0683,-0.041,-0.014,-0.012,-0.068,1.14,1.072,-0.6,1
-0.29,DJF,2013,-0.1707,0.0683,-0.041,-0.014,-0.012,-0.068,1.14,1.072,-0.6,2
-0.21,MAM,2013,-0.068,0.0272,-0.016,-0.011,-0.001,-0.028,1.14,1.112,-0.9,3
-0.19,MAM,2013,-0.0615,0.0246,-0.015,-0.01,-0.001,-0.025,1.14,1.115,-0.8,4
-0.27,MAM,2013,-0.0874,0.035,-0.021,-0.014,-0.001,-0.036,1.14,1.104,-1.2,5
-0.34,JJA,2013,-0.05,0.02,-0.012,-0.017,-0.001,-0.03,1.14,1.11,1.0,6
-0.35,JJA,2013,-0.0515,0.0206,-0.012,-0.017,-0.001,-0.03,1.14,1.11,1.0,7
-0.28,JJA,2013,-0.0412,0.0165,-0.01,-0.014,-0.0,-0.024,1.14,1.116,0.8,8
-0.21,SON,2013,-0.0556,0.0222,-0.013,-0.011,-0.001,-0.025,1.14,1.115,-0.3,9
-0.13,SON,2013,-0.0344,0.0138,-0.008,-0.007,-0.0,-0.015,1.14,1.125,-0.2,10
-0.1,SON,2013,-0.0265,0.0106,-0.006,-0.005,-0.0,-0.012,1.14,1.128,-0.1,11
-0.15,DJF,2013,-0.0883,0.0353,-0.021,-0.007,-0.006,-0.035,1.14,1.105,-0.3,12
-0.28,DJF,2014,-0.1648,0.0659,-0.04,-0.014,-0.012,-0.065,1.17,1.105,-0.6,1
-0.32,DJF,2014,-0.1884,0.0753,-0.045,-0.016,-0.014,-0.075,1.17,1.095,-0.6,2
-0.14,MAM,2014,-0.0453,0.0181,-0.011,-0.007,-0.001,-0.018,1.17,1.152,-0.6,3
0.15,MAM,2014,0.0486,-0.0194,0.012,0.007,0.001,0.02,1.17,1.19,0.7,4
0.31,MAM,2014,0.1004,-0.0401,0.024,0.015,0.001,0.041,1.17,1.211,1.4,5
0.23,JJA,2014,0.0338,-0.0135,0.008,0.012,0.0,0.02,1.17,1.19,-0.7,6
0.1,JJA,2014,0.0147,-0.0059,0.004,0.005,0.0,0.009,1.17,1.179,-0.3,7
0.11,JJA,2014,0.0162,-0.0065,0.004,0.006,0.0,0.01,1.17,1.18,-0.3,8
0.28,SON,2014,0.0742,-0.0297,0.018,0.014,0.001,0.033,1.17,1.203,0.4,9
0.54,SON,2014,0.143,-0.0572,0.034,0.027,0.002,0.063,1.17,1.233,0.7,10
0.71,SON,2014,0.1881,-0.0752,0.045,0.035,0.002,0.083,1.17,1.253,1.0,11
0.77,DJF,2014,0.4532,-0.1813,0.109,0.039,0.033,0.18,1.17,1.35,1.5,12
0.69,DJF,2015,0.4061,-0.1625,0.097,0.034,0.029,0.161,1.2,1.361,1.4,1
0.61,DJF,2015,0.359,-0.1436,0.086,0.03,0.026,0.143,1.2,1.343,1.2,2
0.65,MAM,2015,0.2104,-0.0842,0.051,0.033,0.003,0.086,1.2,1.286,2.9,3
0.81,MAM,2015,0.2622,-0.1049,0.063,0.041,0.003,0.107,1.2,1.307,3.6,4
1.02,MAM,2015,0.3302,-0.1321,0.079,0.051,0.004,0.134,1.2,1.334,4.5,5
1.25,JJA,2015,0.1839,-0.0736,0.044,0.062,0.002,0.109,1.2,1.309,-3.8,6
1.57,JJA,2015,0.231,-0.0924,0.055,0.079,0.003,0.137,1.2,1.337,-4.7,7
1.91,JJA,2015,0.2811,-0.1124,0.067,0.096,0.003,0.166,1.2,1.366,-5.7,8
2.21,SON,2015,0.5854,-0.2341,0.14,0.111,0.007,0.258,1.2,1.458,3.0,9
2.47,SON,2015,0.6542,-0.2617,0.157,0.124,0.008,0.288,1.2,1.488,3.3,10
2.64,SON,2015,0.6993,-0.2797,0.168,0.132,0.008,0.308,1.2,1.508,3.6,11
2.75,DJF,2015,1.6187,-0.6475,0.388,0.138,0.117,0.643,1.2,1.843,5.5,12
2.63,DJF,2016,1.548,-0.6192,0.372,0.132,0.111,0.614,1.23,1.844,5.2,1
2.28,DJF,2016,1.342,-0.5368,0.322,0.114,0.097,0.533,1.23,1.763,4.5,2
1.71,MAM,2016,0.5536,-0.2214,0.133,0.086,0.007,0.225,1.23,1.455,7.5,3
1.05,MAM,2016,0.3399,-0.136,0.082,0.053,0.004,0.138,1.23,1.368,4.6,4
0.49,MAM,2016,0.1586,-0.0635,0.038,0.025,0.002,0.064,1.23,1.294,2.2,5
0.0,JJA,2016,0.0,-0.0,0.0,0.0,0.0,0.0,1.23,1.23,-0.0,6
-0.31,JJA,2016,-0.0456,0.0182,-0.011,-0.015,-0.001,-0.027,1.23,1.203,0.9,7
-0.5,JJA,2016,-0.0736,0.0294,-0.018,-0.025,-0.001,-0.044,1.23,1.186,1.5,8
-0.58,SON,2016,-0.1536,0.0615,-0.037,-0.029,-0.002,-0.068,1.23,1.162,-0.8,9
-0.64,SON,2016,-0.1695,0.0678,-0.041,-0.032,-0.002,-0.075,1.23,1.155,-0.9,10
-0.6,SON,2016,-0.1589,0.0636,-0.038,-0.03,-0.002,-0.07,1.23,1.16,-0.8,11
-0.45,DJF,2016,-0.2649,0.1059,-0.064,-0.023,-0.019,-0.105,1.23,1.125,-0.9,12
-0.19,DJF,2017,-0.1118,0.0447,-0.027,-0.01,-0.008,-0.044,1.26,1.216,-0.4,1
-0.02,DJF,2017,-0.0118,0.0047,-0.003,-0.001,-0.001,-0.005,1.26,1.255,-0.0,2
0.18,MAM,2017,0.0583,-0.0233,0.014,0.009,0.001,0.024,1.26,1.284,0.8,3
0.31,MAM,2017,0.1004,-0.0401,0.024,0.015,0.001,0.041,1.26,1.301,1.4,4
0.4,MAM,2017,0.1295,-0.0518,0.031,0.02,0.002,0.053,1.26,1.313,1.8,5
0.39,JJA,2017,0.0574,-0.023,0.014,0.02,0.001,0.034,1.26,1.294,-1.2,6
0.19,JJA,2017,0.028,-0.0112,0.007,0.01,0.0,0.017,1.26,1.277,-0.6,7
-0.07,JJA,2017,-0.0103,0.0041,-0.002,-0.004,-0.0,-0.006,1.26,1.254,0.2,8
-0.34,SON,2017,-0.0901,0.036,-0.022,-0.017,-0.001,-0.04,1.26,1.22,-0.5,9
-0.6,SON,2017,-0.1589,0.0636,-0.038,-0.03,-0.002,-0.07,1.26,1.19,-0.8,10
-0.77,SON,2017,-0.204,0.0816,-0.049,-0.039,-0.002,-0.09,1.26,1.17,-1.0,11
-0.86,DJF,2017,-0.5062,0.2025,-0.121,-0.043,-0.036,-0.201,1.26,1.059,-1.7,12
-0.77,DJF,2018,-0.4532,0.1813,-0.109,-0.039,-0.033,-0.18,1.29,1.11,-1.5,1
-0.71,DJF,2018,-0.4179,0.1672,-0.1,-0.035,-0.03,-0.166,1.29,1.124,-1.4,2
-0.57,MAM,2018,-0.1845,0.0738,-0.044,-0.028,-0.002,-0.075,1.29,1.215,-2.5,3
-0.39,MAM,2018,-0.1263,0.0505,-0.03,-0.02,-0.002,-0.051,1.29,1.239,-1.7,4
-0.13,MAM,2018,-0.0421,0.0168,-0.01,-0.007,-0.001,-0.017,1.29,1.273,-0.6,5
0.06,JJA,2018,0.0088,-0.0035,0.002,0.003,0.0,0.005,1.29,1.295,-0.2,6
0.14,JJA,2018,0.0206,-0.0082,0.005,0.007,0.0,0.012,1.29,1.302,-0.4,7
0.27,JJA,2018,0.0397,-0.0159,0.01,0.014,0.0,0.024,1.29,1.314,-0.8,8
0.53,SON,2018,0.1404,-0.0562,0.034,0.027,0.002,0.062,1.29,1.352,0.7,9
0.81,SON,2018,0.2145,-0.0858,0.051,0.041,0.003,0.095,1.29,1.385,1.1,10
0.97,SON,2018,0.2569,-0.1028,0.062,0.049,0.003,0.113,1.29,1.403,1.3,11
0.92,DJF,2018,0.5415,-0.2166,0.13,0.046,0.039,0.215,1.29,1.505,1.8,12
0.89,DJF,2019,0.5239,-0.2095,0.126,0.045,0.038,0.208,1.32,1.528,1.8,1
0.86,DJF,2019,0.5062,-0.2025,0.121,0.043,0.036,0.201,1.32,1.521,1.7,2
0.84,MAM,2019,0.2719,-0.1088,0.065,0.042,0.003,0.111,1.32,1.431,3.7,3
0.77,MAM,2019,0.2493,-0.0997,0.06,0.039,0.003,0.101,1.32,1.421,3.4,4
0.64,MAM,2019,0.2072,-0.0829,0.05,0.032,0.002,0.084,1.32,1.404,2.8,5
0.52,JJA,2019,0.0765,-0.0306,0.018,0.026,0.001,0.045,1.32,1.365,-1.6,6
0.33,JJA,2019,0.0486,-0.0194,0.012,0.017,0.001,0.029,1.32,1.349,-1.0,7
0.19,JJA,2019,0.028,-0.0112,0.007,0.01,0.0,0.017,1.32,1.337,-0.6,8
0.23,SON,2019,0.0609,-0.0244,0.015,0.012,0.001,0.027,1.32,1.347,0.3,9
0.39,SON,2019,0.1033,-0.0413,0.025,0.02,0.001,0.046,1.32,1.366,0.5,10
0.58,SON,2019,0.1536,-0.0615,0.037,0.029,0.002,0.068,1.32,1.388,0.8,11
0.66,DJF,2019,0.3885,-0.1554,0.093,0.033,0.028,0.154,1.32,1.474,1.3,12
0.64,DJF,2020,0.3767,-0.1507,0.09,0.032,0.027,0.15,1.35,1.5,1.3,1
0.63,DJF,2020,0.3708,-0.1483,0.089,0.032,0.027,0.147,1.35,1.497,1.3,2
0.53,MAM,2020,0.1716,-0.0686,0.041,0.027,0.002,0.07,1.35,1.42,2.3,3
0.3,MAM,2020,0.0971,-0.0388,0.023,0.015,0.001,0.039,1.35,1.389,1.3,4
0.01,MAM,2020,0.0032,-0.0013,0.001,0.001,0.0,0.001,1.35,1.351,0.0,5
-0.23,JJA,2020,-0.0338,0.0135,-0.008,-0.012,-0.0,-0.02,1.35,1.33,0.7,6
-0.36,JJA,2020,-0.053,0.0212,-0.013,-0.018,-0.001,-0.031,1.35,1.319,1.1,7
-0.53,JJA,2020,-0.078,0.0312,-0.019,-0.027,-0.001,-0.046,1.35,1.304,1.6,8
-0.85,SON,2020,-0.2251,0.0901,-0.054,-0.043,-0.003,-0.099,1.35,1.251,-1.1,9
-1.12,SON,2020,-0.2967,0.1187,-0.071,-0.056,-0.004,-0.131,1.35,1.219,-1.5,10
-1.2,SON,2020,-0.3178,0.1271,-0.076,-0.06,-0.004,-0.14,1.35,1.21,-1.6,11
-1.08,DJF,2020,-0.6357,0.2543,-0.153,-0.054,-0.046,-0.252,1.35,1.098,-2.1,12
-0.91,DJF,2021,-0.5356,0.2143,-0.129,-0.046,-0.039,-0.213,1.38,1.167,-1.8,1
-0.79,DJF,2021,-0.465,0.186,-0.112,-0.04,-0.033,-0.185,1.38,1.195,-1.6,2
-0.71,MAM,2021,-0.2299,0.0919,-0.055,-0.035,-0.003,-0.093,1.38,1.287,-3.1,3
-0.55,MAM,2021,-0.1781,0.0712,-0.043,-0.028,-0.002,-0.072,1.38,1.308,-2.4,4
-0.39,MAM,2021,-0.1263,0.0505,-0.03,-0.02,-0.002,-0.051,1.38,1.329,-1.7,5
-0.3,JJA,2021,-0.0441,0.0177,-0.011,-0.015,-0.001,-0.026,1.38,1.354,0.9,6
-0.35,JJA,2021,-0.0515,0.0206,-0.012,-0.017,-0.001,-0.03,1.38,1.35,1.0,7
-0.45,JJA,2021,-0.0662,0.0265,-0.016,-0.023,-0.001,-0.039,1.38,1.341,1.4,8
-0.63,SON,2021,-0.1669,0.0667,-0.04,-0.032,-0.002,-0.074,1.38,1.306,-0.9,9
-0.76,SON,2021,-0.2013,0.0805,-0.048,-0.038,-0.002,-0.089,1.38,1.291,-1.0,10
-0.91,SON,2021,-0.241,0.0964,-0.058,-0.046,-0.003,-0.106,1.38,1.274,-1.2,11
-0.87,DJF,2021,-0.5121,0.2048,-0.123,-0.044,-0.037,-0.203,1.38,1.177,-1.7,12
-0.82,DJF,2022,-0.4827,0.1931,-0.116,-0.041,-0.035,-0.192,1.41,1.218,-1.6,1
-0.79,DJF,2022,-0.465,0.186,-0.112,-0.04,-0.033,-0.185,1.41,1.225,-1.6,2
-0.86,MAM,2022,-0.2784,0.1114,-0.067,-0.043,-0.003,-0.113,1.41,1.297,-3.8,3
-0.95,MAM,2022,-0.3075,0.123,-0.074,-0.048,-0.004,-0.125,1.41,1.285,-4.2,4
-0.9,MAM,2022,-0.2914,0.1165,-0.07,-0.045,-0.003,-0.118,1.41,1.292,-4.0,5
-0.78,JJA,2022,-0.1148,0.0459,-0.028,-0.039,-0.001,-0.068,1.41,1.342,2.3,6
-0.76,JJA,2022,-0.1118,0.0447,-0.027,-0.038,-0.001,-0.066,1.41,1.344,2.3,7
-0.87,JJA,2022,-0.128,0.0512,-0.031,-0.044,-0.002,-0.076,1.41,1.334,2.6,8
-0.97,SON,2022,-0.2569,0.1028,-0.062,-0.049,-0.003,-0.113,1.41,1.297,-1.3,9
-0.94,SON,2022,-0.249,0.0996,-0.06,-0.047,-0.003,-0.11,1.41,1.3,-1.3,10
-0.85,SON,2022,-0.2251,0.0901,-0.054,-0.043,-0.003,-0.099,1.41,1.311,-1.1,11
-0.71,DJF,2022,-0.4179,0.1672,-0.1,-0.035,-0.03,-0.166,1.41,1.244,-1.4,12
-0.54,DJF,2023,-0.3178,0.1271,-0.076,-0.027,-0.023,-0.126,1.44,1.314,-1.1,1
-0.29,DJF,2023,-0.1707,0.0683,-0.041,-0.014,-0.012,-0.068,1.44,1.372,-0.6,2
-0.02,MAM,2023,-0.0065,0.0026,-0.002,-0.001,-0.0,-0.003,1.44,1.437,-0.1,3
0.27,MAM,2023,0.0874,-0.035,0.021,0.014,0.001,0.036,1.44,1.476,1.2,4
0.57,MAM,2023,0.1845,-0.0738,0.044,0.028,0.002,0.075,1.44,1.515,2.5,5
0.84,JJA,2023,0.1236,-0.0494,0.03,0.042,0.001,0.073,1.44,1.513,-2.5,6
1.12,JJA,2023,0.1648,-0.0659,0.04,0.056,0.002,0.098,1.44,1.538,-3.4,7
1.37,JJA,2023,0.2016,-0.0806,0.048,0.069,0.002,0.119,1.44,1.559,-4.1,8
1.6,SON,2023,0.4238,-0.1695,0.102,0.08,0.005,0.187,1.44,1.627,2.2,9
1.83,SON,2023,0.4847,-0.1939,0.116,0.092,0.006,0.214,1.44,1.654,2.5,10
1.99,SON,2023,0.5271,-0.2108,0.127,0.1,0.006,0.232,1.44,1.672,2.7,11
2.06,DJF,2023,1.2125,-0.485,0.291,0.103,0.087,0.481,1.44,1.921,4.1,12
1.92,DJF,2024,1.1301,-0.452,0.271,0.096,0.081,0.449,1.47,1.919,3.8,1
1.62,DJF,2024,0.9535,-0.3814,0.229,0.081,0.069,0.379,1.47,1.849,3.2,2
1.26,MAM,2024,0.4079,-0.1632,0.098,0.063,0.005,0.166,1.47,1.636,5.5,3
0.82,MAM,2024,0.2655,-0.1062,0.064,0.041,0.003,0.108,1.47,1.578,3.6,4
0.49,MAM,2024,0.1586,-0.0635,0.038,0.025,0.002,0.064,1.47,1.534,2.2,5
0.22,JJA,2024,0.0324,-0.0129,0.008,0.011,0.0,0.019,1.47,1.489,-0.7,6
0.08,JJA,2024,0.0118,-0.0047,0.003,0.004,0.0,0.007,1.47,1.477,-0.2,7
-0.07,JJA,2024,-0.0103,0.0041,-0.002,-0.004,-0.0,-0.006,1.47,1.464,0.2,8
-0.17,SON,2024,-0.045,0.018,-0.011,-0.009,-0.001,-0.02,1.47,1.45,-0.2,9
-0.21,SON,2024,-0.0556,0.0222,-0.013,-0.011,-0.001,-0.025,1.47,1.445,-0.3,10
-0.3,SON,2024,-0.0795,0.0318,-0.019,-0.015,-0.001,-0.035,1.47,1.435,-0.4,11
-0.42,DJF,2024,-0.2472,0.0989,-0.059,-0.021,-0.018,-0.098,1.47,1.372,-0.8,12
-0.45,DJF,2025,-0.2649,0.1059,-0.064,-0.023,-0.019,-0.105,1.5,1.395,-0.9,1
-0.24,DJF,2025,-0.1413,0.0565,-0.034,-0.012,-0.01,-0.056,1.5,1.444,-0.5,2
-0.06,MAM,2025,-0.0194,0.0078,-0.005,-0.003,-0.0,-0.008,1.5,1.492,-0.3,3
0.02,MAM,2025,0.0065,-0.0026,0.002,0.001,0.0,0.003,1.5,1.503,0.1,4
-0.02,MAM,2025,-0.0065,0.0026,-0.002,-0.001,-0.0,-0.003,1.5,1.497,-0.1,5
-0.04,JJA,2025,-0.0059,0.0024,-0.001,-0.002,-0.0,-0.003,1.5,1.497,0.1,6
-0.14,JJA,2025,-0.0206,0.0082,-0.005,-0.007,-0.0,-0.012,1.5,1.488,0.4,7
-0.28,JJA,2025,-0.0412,0.0165,-0.01,-0.014,-0.0,-0.024,1.5,1.476,0.8,8
-0.4,SON,2025,-0.1059,0.0424,-0.025,-0.02,-0.001,-0.047,1.5,1.453,-0.5,9
-0.51,SON,2025,-0.1351,0.054,-0.032,-0.026,-0.002,-0.06,1.5,1.44,-0.7,10
-0.55,SON,2025,-0.1457,0.0583,-0.035,-0.028,-0.002,-0.064,1.5,1.436,-0.7,11
-0.54,DJF,2025,-0.3178,0.1271,-0.076,-0.027,-0.023,-0.126,1.5,1.374,-1.1,12
-0.37,DJF,2026,-0.2178,0.0871,-0.052,-0.018,-0.016,-0.086,1.53,1.444,-0.7,1
-0.15,DJF,2026,-0.0883,0.0353,-0.021,-0.007,-0.006,-0.035,1.53,1.495,-0.3,2
0.11,MAM,2026,0.0356,-0.0142,0.009,0.006,0.0,0.014,1.53,1.544,0.5,3
